scaffold	pos	zscore	pvalue	adjpvalue	beta	FDRpvalue	absBetax1000
scaffold2107_size60955	25018	-5.466110023	2.66E-06	6.48E-06	-8.99E-05	0.033467484	8.99E-02
scaffold2107_size60955	25045	-5.634175685	1.54E-06	3.34E-06	-8.57E-05	0.025008517	8.57E-02
scaffold2107_size60955	25049	-5.472471627	2.60E-06	6.32E-06	-7.77E-05	0.03312231	7.77E-02
scaffold2107_size60955	25064	-5.255426064	5.23E-06	1.45E-05	-7.11E-05	0.04852941	7.11E-02
scaffold2107_size60955	25065	-5.255426064	5.23E-06	1.45E-05	-7.11E-05	0.04852941	7.11E-02
scaffold2107_size60955	28341	-5.342870984	3.95E-06	1.04E-05	-9.02E-05	0.041801097	9.02E-02
scaffold2109_size60917	10280	-5.616624418	1.63E-06	3.58E-06	-7.61E-05	0.025833804	7.61E-02
scaffold2110_size60912_1_51851	12761	5.414843868	3.13E-06	7.91E-06	0.000164775	0.037045858	1.65E-01
scaffold2120_size60564	48285	5.871610261	7.16E-07	1.27E-06	0.000113175	0.015680288	1.13E-01
scaffold2120_size60564	48324	6.613941446	6.49E-08	4.84E-08	0.000142514	0.002642312	1.43E-01
scaffold2120_size60564	48366	5.446612629	2.83E-06	6.99E-06	0.000116147	0.034887909	1.16E-01
scaffold2120_size60564	48491	5.367939877	3.64E-06	9.47E-06	0.000122162	0.040183908	1.22E-01
scaffold2120_size60564	48502	5.592507264	1.77E-06	3.94E-06	0.000118228	0.027041949	1.18E-01
scaffold2120_size60564	48559	5.963050361	5.33E-07	8.65E-07	0.000129736	0.013083987	1.30E-01
scaffold2120_size60564	48565	6.156416875	2.85E-07	3.78E-07	0.000125002	0.008696534	1.25E-01
scaffold2123_size60488	1532	-6.19071425	2.55E-07	3.26E-07	-0.000124302	0.007996887	1.24E-01
scaffold2124_size60484	28852	-5.243519675	5.43E-06	1.52E-05	-0.000155879	0.049250025	1.56E-01
scaffold2134_size60234	34269	5.822726595	8.39E-07	1.55E-06	0.000159661	0.016903104	1.60E-01
scaffold2134_size60234	34272	6.001105313	4.71E-07	7.37E-07	0.000162865	0.012236359	1.63E-01
scaffold2134_size60234	34273	6.001105313	4.71E-07	7.37E-07	0.000162865	0.012236359	1.63E-01
scaffold2134_size60234	34289	6.675619792	5.32E-08	3.63E-08	0.000184314	0.002174094	1.84E-01
scaffold2134_size60234	34301	6.71381442	4.70E-08	3.03E-08	0.000183114	0.001999786	1.83E-01
scaffold2134_size60234	34302	6.71381442	4.70E-08	3.03E-08	0.000183114	0.001999786	1.83E-01
scaffold2134_size60234	34347	6.340700747	1.57E-07	1.68E-07	0.000166194	0.005608416	1.66E-01
scaffold2134_size60234	34350	6.278043744	1.92E-07	2.22E-07	0.000170653	0.006416116	1.71E-01
scaffold2135_size60228	10982	5.506847864	2.33E-06	5.53E-06	0.000127998	0.031271247	1.28E-01
scaffold2143_size60041	1053	5.741019038	1.09E-06	2.17E-06	0.000211443	0.020098405	2.11E-01
scaffold2143_size60041	1064	5.706042907	1.22E-06	2.50E-06	0.000206814	0.021421617	2.07E-01
scaffold2143_size60041	1344	5.504624753	2.35E-06	5.58E-06	0.000266885	0.031276425	2.67E-01
scaffold2143_size60041	1354	5.492031342	2.44E-06	5.86E-06	0.000262719	0.031885198	2.63E-01
scaffold2143_size60041	1483	5.449610885	2.80E-06	6.91E-06	0.000217043	0.034757783	2.17E-01
scaffold2143_size60041	1506	5.87790524	7.02E-07	1.24E-06	0.000244587	0.015403082	2.45E-01
scaffold2143_size60041	1514	5.665139924	1.40E-06	2.95E-06	0.000221136	0.02336891	2.21E-01
scaffold2143_size60041	1581	5.410158696	3.18E-06	8.05E-06	0.000228014	0.0373977	2.28E-01
scaffold2143_size60041	1586	5.535928729	2.12E-06	4.93E-06	0.00023235	0.029870111	2.32E-01
scaffold2143_size60041	1612	5.655586751	1.44E-06	3.07E-06	0.000243824	0.023820381	2.44E-01
scaffold2143_size60041	1950	5.876674368	7.05E-07	1.24E-06	0.000229523	0.015447914	2.30E-01
scaffold2143_size60041	1951	5.832112786	8.14E-07	1.49E-06	0.000229179	0.01647938	2.29E-01
scaffold2143_size60041	1969	5.896154563	6.62E-07	1.15E-06	0.000230526	0.014858612	2.31E-01
scaffold2143_size60041	2005	6.370259572	1.43E-07	1.47E-07	0.000254858	0.005230127	2.55E-01
scaffold2143_size60041	2137	6.956325982	2.16E-08	9.49E-09	0.000253992	0.000947453	2.54E-01
scaffold2143_size60041	2138	6.956325982	2.16E-08	9.49E-09	0.000253992	0.000947453	2.54E-01
scaffold2143_size60041	2221	5.619517541	1.62E-06	3.54E-06	0.00017639	0.025711445	1.76E-01
scaffold2143_size60041	2241	7.015630264	1.78E-08	7.10E-09	0.000252427	0.000827035	2.52E-01
scaffold2143_size60041	2259	6.548417452	8.02E-08	6.55E-08	0.000230177	0.003092251	2.30E-01
scaffold2143_size60041	2271	6.994354581	1.91E-08	7.88E-09	0.000242151	0.000869672	2.42E-01
scaffold2143_size60041	2289	7.360654855	5.93E-09	1.25E-09	0.000213261	0.000372747	2.13E-01
scaffold2143_size60041	6042	5.552297304	2.01E-06	4.63E-06	0.000210814	0.028814057	2.11E-01
scaffold2143_size60041	6239	5.882952874	6.90E-07	1.21E-06	0.000226173	0.015203333	2.26E-01
scaffold2168_size59368_1_52067	21306	7.357777005	5.98E-09	1.27E-09	0.000142231	0.000372747	1.42E-01
scaffold2173_size59272_42268_59272	10103	-5.580415359	1.84E-06	4.14E-06	-6.90E-05	0.02760626	6.90E-02
scaffold2177_size59204	45404	-5.382709352	3.47E-06	8.95E-06	-0.000119656	0.03921271	1.20E-01
scaffold2177_size59204	47536	-5.328260224	4.14E-06	1.10E-05	-0.000126334	0.043058533	1.26E-01
scaffold2179_size59123	29166	-5.260128117	5.15E-06	1.42E-05	-9.51E-05	0.048188744	9.51E-02
scaffold2179_size59123	52916	-5.331697998	4.09E-06	1.09E-05	-7.39E-05	0.042746115	7.39E-02
scaffold2179_size59123	57952	-5.368961624	3.63E-06	9.43E-06	-0.000122888	0.040096936	1.23E-01
scaffold2179_size59123	57964	-5.547645371	2.04E-06	4.71E-06	-0.000121922	0.029177565	1.22E-01
scaffold2179_size59123	58037	-5.703600772	1.23E-06	2.53E-06	-0.000115464	0.021585379	1.15E-01
scaffold2179_size59123	58051	-5.484594985	2.50E-06	6.03E-06	-0.000127012	0.032277967	1.27E-01
scaffold2181_size59042	25927	-5.506425132	2.33E-06	5.54E-06	-4.84E-05	0.031271247	4.84E-02
scaffold2181_size59042	25929	-5.506425132	2.33E-06	5.54E-06	-4.84E-05	0.031271247	4.84E-02
scaffold2183_size59023_8463_59023	15259	-6.40133278	1.29E-07	1.28E-07	-0.000132192	0.004785204	1.32E-01
scaffold2183_size59023_8463_59023	15597	-5.435577114	2.93E-06	7.30E-06	-0.000118971	0.035640966	1.19E-01
scaffold2183_size59023_8463_59023	16020	-6.002096321	4.69E-07	7.34E-07	-0.000133653	0.012236359	1.34E-01
scaffold2183_size59023_8463_59023	16067	-5.586718413	1.80E-06	4.04E-06	-8.91E-05	0.027262909	8.91E-02
scaffold2183_size59023_8463_59023	16323	-6.414888974	1.23E-07	1.20E-07	-0.000136109	0.004640572	1.36E-01
scaffold2183_size59023_8463_59023	16405	-5.237837983	5.53E-06	1.55E-05	-9.57E-05	0.049644116	9.57E-02
scaffold2183_size59023_8463_59023	16861	-5.94145863	5.71E-07	9.48E-07	-7.18E-05	0.013549306	7.18E-02
scaffold2183_size59023_8463_59023	17680	-5.853663589	7.59E-07	1.37E-06	-0.00013204	0.016039762	1.32E-01
scaffold2183_size59023_8463_59023	18474	-5.589716045	1.78E-06	3.99E-06	-0.000116712	0.027167974	1.17E-01
scaffold2183_size59023_8463_59023	19234	-6.547551254	8.04E-08	6.58E-08	-0.00014759	0.003092251	1.48E-01
scaffold2183_size59023_8463_59023	28714	-5.446429251	2.83E-06	7.00E-06	-0.00013059	0.034887909	1.31E-01
scaffold2183_size59023_8463_59023	28745	-5.994135272	4.82E-07	7.59E-07	-0.000128929	0.012467936	1.29E-01
scaffold2183_size59023_8463_59023	29037	-5.464167348	2.67E-06	6.53E-06	-0.000132569	0.033566612	1.33E-01
scaffold2183_size59023_8463_59023	29283	-6.045956001	4.07E-07	6.09E-07	-0.000128428	0.011271422	1.28E-01
scaffold2183_size59023_8463_59023	29608	-5.988860778	4.90E-07	7.76E-07	-0.000131874	0.012557561	1.32E-01
scaffold2183_size59023_8463_59023	29884	-5.699583145	1.25E-06	2.57E-06	-0.00013923	0.021688283	1.39E-01
scaffold2183_size59023_8463_59023	30112	-5.897932536	6.58E-07	1.14E-06	-0.000143886	0.014814476	1.44E-01
scaffold2183_size59023_8463_59023	30277	-5.750367839	1.06E-06	2.09E-06	-0.000109375	0.019827218	1.09E-01
scaffold2183_size59023_8463_59023	30369	-6.572549931	7.42E-08	5.86E-08	-0.000152403	0.002968705	1.52E-01
scaffold2183_size59023_8463_59023	30370	-6.572549931	7.42E-08	5.86E-08	-0.000152403	0.002968705	1.52E-01
scaffold2183_size59023_8463_59023	30442	-6.61760162	6.41E-08	4.76E-08	-0.000148024	0.002611358	1.48E-01
scaffold2183_size59023_8463_59023	30457	-6.909400256	2.51E-08	1.19E-08	-0.000140974	0.0010771	1.41E-01
scaffold2183_size59023_8463_59023	30581	-5.658936222	1.42E-06	3.03E-06	-0.000131005	0.023699485	1.31E-01
scaffold2183_size59023_8463_59023	31063	-5.685147265	1.31E-06	2.72E-06	-0.000148026	0.022394495	1.48E-01
scaffold2184_size59013	31626	-5.612469801	1.66E-06	3.64E-06	-5.62E-05	0.025991372	5.62E-02
scaffold2184_size59013	41536	-5.509070194	2.31E-06	5.48E-06	-6.56E-05	0.031171019	6.56E-02
scaffold2184_size59013	42162	-5.716428387	1.18E-06	2.40E-06	-0.000101077	0.020973069	1.01E-01
scaffold2184_size59013	43200	-5.292313581	4.65E-06	1.26E-05	-4.00E-05	0.045805739	4.00E-02
scaffold2188_size58941	47010	5.603041806	1.71E-06	3.78E-06	0.00019044	0.026470038	1.90E-01
scaffold2188_size58941	47073	6.456214023	1.08E-07	9.99E-08	0.000179122	0.004055244	1.79E-01
scaffold2190_size58854	29031	-5.435926119	2.93E-06	7.29E-06	-3.47E-05	0.035628819	3.47E-02
scaffold2194_size58811_1_10477	3218	5.283750972	4.77E-06	1.30E-05	9.82E-05	0.046318241	9.82E-02
scaffold2207_size58541	476	-5.304686185	4.46E-06	1.20E-05	-6.61E-05	0.044659502	6.61E-02
scaffold2209_size58523	9766	-5.615185545	1.64E-06	3.60E-06	-0.000106914	0.025899854	1.07E-01
scaffold2209_size58523	12060	-5.551694729	2.01E-06	4.64E-06	-6.61E-05	0.028851684	6.61E-02
scaffold2216_size58407	22475	-6.125645624	3.15E-07	4.32E-07	-0.000121978	0.009302003	1.22E-01
scaffold2216_size58407	22573	-6.040483964	4.15E-07	6.23E-07	-0.000109252	0.011376971	1.09E-01
scaffold2217_size58405	27473	-5.253714849	5.26E-06	1.46E-05	-9.92E-05	0.04852941	9.92E-02
scaffold2223_size58263	53032	6.203580589	2.45E-07	3.08E-07	0.00013934	0.007808891	1.39E-01
scaffold2223_size58263	53049	5.884323163	6.87E-07	1.20E-06	0.000132866	0.015165363	1.33E-01
scaffold2223_size58263	53092	5.861072481	7.41E-07	1.33E-06	0.000129107	0.015822539	1.29E-01
scaffold2223_size58263	53096	5.861072481	7.41E-07	1.33E-06	0.000129107	0.015822539	1.29E-01
scaffold2223_size58263	53104	5.992244814	4.85E-07	7.65E-07	0.000133582	0.012501383	1.34E-01
scaffold2223_size58263	53107	5.992244814	4.85E-07	7.65E-07	0.000133582	0.012501383	1.34E-01
scaffold2223_size58263	53157	6.34293403	1.56E-07	1.66E-07	0.000137585	0.005588362	1.38E-01
scaffold2223_size58263	53191	6.624887007	6.27E-08	4.60E-08	0.000143144	0.002537665	1.43E-01
scaffold2223_size58263	53197	6.637242491	6.02E-08	4.34E-08	0.000144703	0.002447314	1.45E-01
scaffold2223_size58263	53202	6.293089504	1.83E-07	2.08E-07	0.000144742	0.006191114	1.45E-01
scaffold2223_size58263	53211	6.213245968	2.37E-07	2.95E-07	0.00014494	0.007629141	1.45E-01
scaffold2223_size58263	53296	5.81743012	8.53E-07	1.59E-06	0.000128283	0.017012207	1.28E-01
scaffold2223_size58263	53308	5.827469969	8.26E-07	1.52E-06	0.000134359	0.016624679	1.34E-01
scaffold2223_size58263	53319	7.077798447	1.46E-08	5.23E-09	0.000144352	0.000731705	1.44E-01
scaffold2223_size58263	53340	6.879314405	2.76E-08	1.38E-08	0.000145044	0.001184327	1.45E-01
scaffold2223_size58263	53368	6.678250592	5.28E-08	3.59E-08	0.0001511	0.002174094	1.51E-01
scaffold2223_size58263	53394	6.271964323	1.96E-07	2.28E-07	0.000152479	0.006547416	1.52E-01
scaffold2223_size58263	53399	6.264590088	2.01E-07	2.36E-07	0.000151493	0.006632686	1.51E-01
scaffold2223_size58263	53409	6.788282788	3.70E-08	2.13E-08	0.000160882	0.001573744	1.61E-01
scaffold2223_size58263	53427	6.502794295	9.29E-08	8.08E-08	0.000155287	0.003557532	1.55E-01
scaffold2223_size58263	53468	5.854254792	7.58E-07	1.36E-06	0.000147664	0.016020728	1.48E-01
scaffold2223_size58263	53482	5.769927253	9.95E-07	1.93E-06	0.000146407	0.018919242	1.46E-01
scaffold2223_size58263	53521	6.282749699	1.89E-07	2.17E-07	0.000150076	0.00639471	1.50E-01
scaffold2223_size58263	53568	7.387994823	5.44E-09	1.09E-09	0.000167229	0.000345992	1.67E-01
scaffold2223_size58263	53847	7.185507911	1.04E-08	3.05E-09	0.000154243	0.000581999	1.54E-01
scaffold2223_size58263	53852	7.329736475	6.54E-09	1.47E-09	0.000161175	0.000390238	1.61E-01
scaffold2223_size58263	53870	6.431185287	1.17E-07	1.12E-07	0.000153296	0.004391856	1.53E-01
scaffold2223_size58263	53885	6.695957512	4.98E-08	3.30E-08	0.000154084	0.002121691	1.54E-01
scaffold2223_size58263	53894	6.17979895	2.64E-07	3.42E-07	0.000145334	0.008242383	1.45E-01
scaffold2223_size58263	53920	6.07244897	3.74E-07	5.44E-07	0.0001531	0.010498278	1.53E-01
scaffold2223_size58263	53932	6.132237941	3.08E-07	4.20E-07	0.00015289	0.009210768	1.53E-01
scaffold2223_size58263	53955	5.664809926	1.40E-06	2.95E-06	0.000153292	0.02336891	1.53E-01
scaffold2223_size58263	53959	5.498958525	2.39E-06	5.70E-06	0.000151002	0.031573985	1.51E-01
scaffold2223_size58263	53966	5.538581776	2.10E-06	4.88E-06	0.000148347	0.029758473	1.48E-01
scaffold2223_size58263	53985	5.685278306	1.31E-06	2.72E-06	0.000150313	0.022394495	1.50E-01
scaffold2223_size58263	54086	6.102027167	3.40E-07	4.79E-07	0.000135868	0.009874154	1.36E-01
scaffold2223_size58263	54097	6.390748088	1.33E-07	1.34E-07	0.000145842	0.00488634	1.46E-01
scaffold2223_size58263	54180	6.505771284	9.20E-08	7.97E-08	0.000157009	0.003557532	1.57E-01
scaffold2223_size58263	54190	6.292161151	1.84E-07	2.09E-07	0.000180161	0.006191114	1.80E-01
scaffold2223_size58263	54198	6.292161151	1.84E-07	2.09E-07	0.000180161	0.006191114	1.80E-01
scaffold2223_size58263	54210	6.292161151	1.84E-07	2.09E-07	0.000180161	0.006191114	1.80E-01
scaffold2223_size58263	54225	6.553653567	7.88E-08	6.40E-08	0.000172649	0.003089733	1.73E-01
scaffold2223_size58263	54240	6.537857565	8.30E-08	6.88E-08	0.000170296	0.00317757	1.70E-01
scaffold2223_size58263	54243	6.557748342	7.78E-08	6.28E-08	0.000171781	0.003054872	1.72E-01
scaffold2223_size58263	54272	6.316016856	1.70E-07	1.88E-07	0.000168526	0.005913262	1.69E-01
scaffold2223_size58263	54293	5.865227089	7.31E-07	1.30E-06	0.000153824	0.015822539	1.54E-01
scaffold2223_size58263	54310	5.564608443	1.93E-06	4.41E-06	0.000143828	0.028351431	1.44E-01
scaffold2223_size58263	54339	5.386882867	3.43E-06	8.80E-06	0.000115203	0.039008634	1.15E-01
scaffold2223_size58263	54477	5.765408888	1.01E-06	1.97E-06	0.000140617	0.019142754	1.41E-01
scaffold2223_size58263	54483	6.162671862	2.79E-07	3.68E-07	0.000138146	0.008555096	1.38E-01
scaffold2223_size58263	54484	5.911852873	6.29E-07	1.07E-06	0.000147857	0.014374909	1.48E-01
scaffold2223_size58263	54503	5.722506869	1.16E-06	2.34E-06	0.000131963	0.020875632	1.32E-01
scaffold2223_size58263	54509	5.94374868	5.67E-07	9.39E-07	0.00014005	0.01343788	1.40E-01
scaffold2223_size58263	54636	5.845853642	7.78E-07	1.41E-06	0.000138549	0.016197417	1.39E-01
scaffold2223_size58263	54673	6.503084701	9.28E-08	8.07E-08	0.000145058	0.003557532	1.45E-01
scaffold2223_size58263	54706	5.361458807	3.72E-06	9.70E-06	0.000137205	0.040568024	1.37E-01
scaffold2223_size58263	54730	5.249739179	5.33E-06	1.48E-05	0.000127508	0.048735252	1.28E-01
scaffold2223_size58263	54736	6.326814022	1.64E-07	1.79E-07	0.000155005	0.005826713	1.55E-01
scaffold2223_size58263	54768	6.046561552	4.07E-07	6.07E-07	0.000135124	0.011262211	1.35E-01
scaffold2223_size58263	54792	5.966987778	5.26E-07	8.51E-07	0.000147292	0.01304039	1.47E-01
scaffold2223_size58263	54815	5.23094607	5.66E-06	1.59E-05	0.000130226	0.049964012	1.30E-01
scaffold2223_size58263	54858	6.046739785	4.06E-07	6.07E-07	0.000140696	0.011262211	1.41E-01
scaffold2223_size58263	54876	6.39406263	1.32E-07	1.32E-07	0.000145682	0.00483732	1.46E-01
scaffold2223_size58263	54988	6.934578253	2.31E-08	1.06E-08	0.000153289	0.001005308	1.53E-01
scaffold2223_size58263	55002	6.564436476	7.62E-08	6.09E-08	0.000155191	0.003036822	1.55E-01
scaffold2223_size58263	55003	6.564436476	7.62E-08	6.09E-08	0.000155191	0.003036822	1.55E-01
scaffold2223_size58263	55049	6.085010777	3.59E-07	5.15E-07	0.000151663	0.010221566	1.52E-01
scaffold2223_size58263	56461	6.308266935	1.74E-07	1.94E-07	0.000138375	0.005988188	1.38E-01
scaffold2223_size58263	57919	6.153524758	2.88E-07	3.83E-07	0.000143278	0.008696534	1.43E-01
scaffold2223_size58263	57944	5.822233302	8.40E-07	1.56E-06	0.0001392	0.016904505	1.39E-01
scaffold2223_size58263	58082	5.794186861	9.20E-07	1.75E-06	0.000168627	0.018001779	1.69E-01
scaffold2223_size58263	58134	5.678627248	1.34E-06	2.79E-06	0.000151332	0.022705682	1.51E-01
scaffold2233_size58092_32697_58092	1371	5.292983147	4.64E-06	1.26E-05	9.48E-05	0.045805739	9.48E-02
scaffold2255_size57656_43797_57656	4369	5.407485061	3.21E-06	8.13E-06	5.25E-05	0.037562969	5.25E-02
scaffold2261_size57517	6537	-5.261307175	5.13E-06	1.42E-05	-9.47E-05	0.04811564	9.47E-02
scaffold2261_size57517	6539	-5.261307175	5.13E-06	1.42E-05	-9.47E-05	0.04811564	9.47E-02
scaffold2261_size57517	9271	-5.242616388	5.45E-06	1.52E-05	-9.99E-05	0.049337844	9.99E-02
scaffold2261_size57517	10443	-5.327829692	4.14E-06	1.10E-05	-0.000104141	0.043058533	1.04E-01
scaffold2261_size57517	10733	-5.358312742	3.76E-06	9.82E-06	-0.00011495	0.040765414	1.15E-01
scaffold2261_size57517	10983	-5.340839681	3.97E-06	1.05E-05	-0.000105685	0.041896546	1.06E-01
scaffold2261_size57517	24173	-5.266824095	5.04E-06	1.39E-05	-8.88E-05	0.047793831	8.88E-02
scaffold2271_size57274	5172	-5.568902576	1.91E-06	4.33E-06	-4.88E-05	0.028201028	4.88E-02
scaffold2273_size57176	9109	-5.730791603	1.13E-06	2.26E-06	-2.41E-05	0.020606001	2.41E-02
scaffold2275_size57107	26608	-5.3140282	4.33E-06	1.16E-05	-0.000114045	0.044029209	1.14E-01
scaffold2275_size57107	26640	-5.40975978	3.18E-06	8.06E-06	-9.81E-05	0.037422044	9.81E-02
scaffold2275_size57107	29301	-5.408126364	3.20E-06	8.11E-06	-0.000103377	0.037558441	1.03E-01
scaffold2275_size57107	29935	-5.611019455	1.66E-06	3.66E-06	-0.000105709	0.026045017	1.06E-01
scaffold2275_size57107	30367	-5.267829287	5.03E-06	1.38E-05	-0.000109511	0.04777039	1.10E-01
scaffold2275_size57107	30465	-5.336086923	4.04E-06	1.07E-05	-0.000118964	0.042324688	1.19E-01
scaffold2275_size57107	30470	-5.484255833	2.50E-06	6.04E-06	-0.00011338	0.032277967	1.13E-01
scaffold2275_size57107	30988	-5.318671202	4.27E-06	1.14E-05	-0.000143044	0.043764231	1.43E-01
scaffold2275_size57107	31633	-5.570920335	1.89E-06	4.30E-06	-0.00012369	0.028127213	1.24E-01
scaffold2275_size57107	31692	-5.497453958	2.40E-06	5.74E-06	-0.000129701	0.031622874	1.30E-01
scaffold2275_size57107	35828	-5.6148626	1.64E-06	3.61E-06	-0.000138685	0.025899854	1.39E-01
scaffold2275_size57107	37116	-5.302263307	4.50E-06	1.22E-05	-0.00011149	0.044864346	1.11E-01
scaffold2275_size57107	38508	-5.332467408	4.08E-06	1.08E-05	-0.000110304	0.042746115	1.10E-01
scaffold2275_size57107	38960	-5.589944427	1.78E-06	3.98E-06	-0.000105746	0.027167974	1.06E-01
scaffold2275_size57107	40149	-6.006024086	4.64E-07	7.22E-07	-0.000107822	0.012236359	1.08E-01
scaffold2275_size57107	40242	-5.811810264	8.69E-07	1.62E-06	-0.000123331	0.017235361	1.23E-01
scaffold2275_size57107	43361	-5.311026745	4.37E-06	1.18E-05	-0.000114216	0.044194485	1.14E-01
scaffold2275_size57107	43372	-5.27274914	4.95E-06	1.36E-05	-0.000113022	0.047252478	1.13E-01
scaffold2275_size57107	44381	-5.249142862	5.34E-06	1.48E-05	-9.54E-05	0.04875245	9.54E-02
scaffold2275_size57107	44565	-6.051444359	4.00E-07	5.95E-07	-0.000132546	0.011091078	1.33E-01
scaffold2275_size57107	45121	-5.51885999	2.24E-06	5.28E-06	-0.00010868	0.030612849	1.09E-01
scaffold2275_size57107	45656	-6.020598157	4.42E-07	6.78E-07	-0.000138039	0.011945696	1.38E-01
scaffold2275_size57107	46230	-5.574075729	1.87E-06	4.24E-06	-0.000120118	0.028003715	1.20E-01
scaffold2275_size57107	46232	-5.574075729	1.87E-06	4.24E-06	-0.000120118	0.028003715	1.20E-01
scaffold2275_size57107	46446	-5.378212036	3.52E-06	9.10E-06	-9.94E-05	0.03958007	9.94E-02
scaffold2275_size57107	55277	-5.27579598	4.90E-06	1.34E-05	-0.000122953	0.047057267	1.23E-01
scaffold2275_size57107	55284	-5.263940355	5.09E-06	1.40E-05	-0.000125436	0.048010664	1.25E-01
scaffold2275_size57107	55395	-5.289303174	4.69E-06	1.28E-05	-0.000124898	0.045918847	1.25E-01
scaffold2280_size56913	991	-5.377769634	3.53E-06	9.12E-06	-9.79E-05	0.039592068	9.79E-02
scaffold2280_size56913	1035	-5.930687394	5.92E-07	9.92E-07	-0.000107352	0.013836227	1.07E-01
scaffold2280_size56913	17902	-5.357739757	3.76E-06	9.84E-06	-6.63E-05	0.040782182	6.63E-02
scaffold2280_size56913	17909	-5.380141353	3.50E-06	9.03E-06	-5.80E-05	0.039468636	5.80E-02
scaffold2280_size56913	18100	-5.586248548	1.80E-06	4.04E-06	-0.000154787	0.027270003	1.55E-01
scaffold2280_size56913	18128	-5.288331923	4.71E-06	1.28E-05	-0.000152199	0.046008478	1.52E-01
scaffold2280_size56913	18141	-5.456831997	2.74E-06	6.72E-06	-8.39E-05	0.034124187	8.39E-02
scaffold2280_size56913	28515	-5.380442192	3.50E-06	9.02E-06	-0.000113251	0.039439587	1.13E-01
scaffold2280_size56913	28984	-5.372059614	3.59E-06	9.32E-06	-0.000114503	0.039952324	1.15E-01
scaffold2280_size56913	30297	-5.328831789	4.13E-06	1.10E-05	-9.99E-05	0.042988472	9.99E-02
scaffold2280_size56913	30582	-5.323849248	4.20E-06	1.12E-05	-0.000179271	0.043420731	1.79E-01
scaffold2280_size56913	35815	-5.385259874	3.45E-06	8.86E-06	-0.000101346	0.039108231	1.01E-01
scaffold2289_size56710	15366	5.831810715	8.15E-07	1.50E-06	0.00015191	0.01647938	1.52E-01
scaffold2289_size56710	27853	5.53357297	2.14E-06	4.98E-06	6.02E-05	0.029904111	6.02E-02
scaffold2289_size56710	27854	5.53357297	2.14E-06	4.98E-06	6.02E-05	0.029904111	6.02E-02
scaffold2289_size56710	28124	6.661509071	5.57E-08	3.88E-08	0.000147122	0.002282427	1.47E-01
scaffold2289_size56710	28170	6.03817165	4.18E-07	6.29E-07	0.000136888	0.011428288	1.37E-01
scaffold2289_size56710	28485	5.959823846	5.38E-07	8.77E-07	0.000136799	0.013133052	1.37E-01
scaffold2289_size56710	28996	5.51307397	2.28E-06	5.40E-06	0.000127959	0.030890408	1.28E-01
scaffold2289_size56710	29379	5.497775255	2.40E-06	5.73E-06	9.00E-05	0.031622874	9.00E-02
scaffold2289_size56710	29748	5.587739234	1.79E-06	4.02E-06	0.000116417	0.027262909	1.16E-01
scaffold2289_size56710	29872	5.320875956	4.24E-06	1.13E-05	0.000100881	0.043655092	1.01E-01
scaffold2289_size56710	34260	5.286543271	4.73E-06	1.29E-05	7.81E-05	0.046124183	7.81E-02
scaffold2290_size56708	50267	-5.417497154	3.11E-06	7.83E-06	-6.18E-05	0.036896911	6.18E-02
scaffold2301_size56502_38739_56502	17572	-5.376554773	3.54E-06	9.16E-06	-7.37E-05	0.039683989	7.37E-02
scaffold2301_size56502_38739_56502	17683	-5.425886033	3.02E-06	7.58E-06	-8.94E-05	0.036316302	8.94E-02
scaffold2302_size56452_19082_56452	17786	-5.679407014	1.33E-06	2.79E-06	-7.02E-05	0.022704865	7.02E-02
scaffold2303_size56450	39510	5.678818224	1.34E-06	2.79E-06	0.00011457	0.022705682	1.15E-01
scaffold2307_size56364	12263	-5.393220364	3.36E-06	8.59E-06	-3.43E-05	0.038698026	3.43E-02
scaffold2308_size56359	27608	-6.492092968	9.62E-08	8.48E-08	-7.72E-05	0.003671657	7.72E-02
scaffold2319_size56152	24771	-5.238442697	5.52E-06	1.55E-05	-8.37E-05	0.049579936	8.37E-02
scaffold2319_size56152	25515	-5.311119731	4.37E-06	1.18E-05	-8.64E-05	0.044194485	8.64E-02
scaffold2319_size56152	25565	-5.28171974	4.81E-06	1.31E-05	-8.78E-05	0.046516514	8.78E-02
scaffold2319_size56152	26121	-5.25068163	5.31E-06	1.48E-05	-7.75E-05	0.048701012	7.75E-02
scaffold2319_size56152	26151	-5.750153634	1.06E-06	2.09E-06	-8.57E-05	0.019827218	8.57E-02
scaffold2319_size56152	26162	-5.439926913	2.89E-06	7.18E-06	-8.53E-05	0.035258009	8.53E-02
scaffold2319_size56152	26169	-5.546592336	2.05E-06	4.73E-06	-8.42E-05	0.029212622	8.42E-02
scaffold2327_size55981_1_48038	28364	-5.415847479	3.12E-06	7.88E-06	-7.09E-05	0.036993636	7.09E-02
scaffold2327_size55981_1_48038	28399	-5.8290196	8.22E-07	1.51E-06	-8.23E-05	0.016592585	8.23E-02
scaffold2327_size55981_1_48038	35805	-5.786785825	9.42E-07	1.80E-06	-4.90E-05	0.018233143	4.90E-02
scaffold2331_size55854_1_43377	40986	-5.985533738	4.95E-07	7.87E-07	-9.00E-05	0.012630222	9.00E-02
scaffold2334_size55810	3756	-5.429313354	2.99E-06	7.48E-06	-3.75E-05	0.036026511	3.75E-02
scaffold2337_size55745	27205	-5.303781438	4.48E-06	1.21E-05	-0.000104049	0.044749301	1.04E-01
